"","data","estacao","umidade","pressao","temperatura","vento","solar","MP10","area"
"565","2018-5","PG",85.9764739884393,1018.89653179191,22.726859344894,1.50699421965318,89.1097880539499,32.7842003853565,83.7601243318502
"566","2018-6","PG",81.2766981132075,1018.35201257862,23.771320754717,1.70037735849057,125.260660377358,35.3269841269841,83.7542737057977
"567","2018-7","PG",80.9326627218935,1019.06452662722,23.464674556213,1.72630177514793,147.037573964497,44.7106918238994,83.7484230797453
"568","2018-8","PG",86.9322358722359,1020.01147420147,21.4571498771499,1.6114742014742,88.7772235872236,28.3390663390663,83.7425724536928
"569","2018-9","PG",85.3729872881356,1015.29203389831,23.1707627118644,1.52798728813559,78.5463347457627,29.828025477707,83.7367218276404
"570","2019-1","PG",72.8052603231598,1012.62412926391,29.3363375224417,NA,102.825314183124,35.3479853479854,83.7133193234307
"571","2019-10","PG",77.6859381443299,1014.39773195876,24.5634432989691,1.56583505154639,81.6205773195876,31.7134020618557,83.6606636889587
"572","2019-11","PG",78.2134521158129,1013.17801781737,24.4834743875278,1.48155902004454,85.8128285077951,25.0069124423963,83.6548130629063
"573","2019-12","PG",83.103,1010.3885,24.31,1.4675,44.5585,18.3,83.6489624368539
"574","2019-2","PG",80.2272832369942,1011.31317919075,27.3797302504817,1.70181415929204,95.3411368015414,27.031007751938,83.7074686973782
"575","2019-3","PG",82.7651428571429,1013.50394957983,26.9387058823529,1.5236974789916,92.0808235294118,24.8834459459459,83.7016180713258
"576","2019-4","PG",79.7335687022901,1013.21767175573,26.5963549618321,1.4768893129771,89.0560496183206,29.57421875,83.6957674452734
"577","2019-5","PG",82.2228067226891,1014.66426890756,25.124218487395,1.47636974789916,98.3285210084034,31.9186440677966,83.6899168192209
"578","2019-6","PG",76.7581425891182,1019.21727954972,24.0212945590994,1.57574108818011,112.559493433396,34.6735459662289,83.6840661931685
"579","2019-7","PG",71.9897639484979,1019.74841201717,22.0881759656652,1.62461373390558,108.462446351931,38.6548672566372,83.6782155671161
"580","2019-8","PG",78.7507125890736,1020.94282660333,21.6388598574822,1.49969121140143,71.519216152019,32.0481012658228,83.6723649410636
"581","2019-9","PG",83.0548057259714,1016.97153374233,22.7838036809816,1.60359918200409,66.019263803681,31.3786008230453,83.6665143150112
"582","2020-4","PG",92.285,1015.145,25.775,1.0425,3.875,58,83.6255599326441
"583","2020-5","PG",97.3666666666667,1016.21666666667,23.2666666666667,1.11666666666667,0,NA,83.6197093065917
